"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
5018.39576487769,0.25,-503,311.140537422417,72.7667385907266,110.404706827309,10.0367915297554,0,0,1.34877437020816,0.00026876604265607,-503,311.140537422417,72.7667385907266,0,0,0,120.441498357065,1.34877437020818,0.000268766042656073
8000,0.302079391588714,-503,496,116,176,16,0,0,301,0.037625,-503,496,116,0,0,0,192,301,0.037625
10000,0.344964033766826,-503,620,145,220,20,0,0,502,0.0502,-503,620,145,0,0,0,240,502,0.0502
12000,0.395474338732984,-333,744,174,264,24,0,0,873,0.07275,-333,744,174,0,0,0,288,873,0.07275
14000,0.433331906608868,-133,868,203,308,28,0,0,1274,0.091,-133,868,203,0,0,0,336,1274,0.091
16000,0.468536135067306,67,992,232,352,32,0,0,1675,0.1046875,67,992,232,0,0,1071,1318,3680,0.23
17787.2247593463,0.5,245.722475934632,1102.80793507947,257.914759010522,391.318944705619,35.5744495186926,0,0,2033.33856424894,0.114314548321009,245.722475934632,1102.80793507947,257.914759010522,0,0,1071,1318,3995.44517002462,0.224624427030148
18000,0.502891374248992,267,1116,261,396,36,0,0,2076,0.115333333333333,267,1116,261,0,0,1071,1318,4033,0.224055555555556
20000,0.530074165335767,490.75,1240,290,440,40,0,0,2500.75,0.1250375,490.75,1240,290,0,0,1071,1318,4409.75,0.2204875
22000,0.567369777169367,790.75,1364,319,484,44,0,0,3001.75,0.136443181818182,790.75,1364,319,0,0,1071,1318,4862.75,0.221034090909091
24000,0.59388476386037,1357.878,1488,348,528,48,0,0,3769.878,0.15707825,1357.878,1488,348,0,0,1071,1318,5582.878,0.232619916666667
26000,0.61973907977793,1893.75,1612,377,572,52,0,0,4506.75,0.173336538461538,1893.75,1612,377,0,0,1071,1318,6271.75,0.241221153846154
28000,0.64575533044338,2193.75,1736,406,616,56,0,0,5007.75,0.178848214285714,2193.75,1736,406,0,0,1071,1318,6724.75,0.240169642857143
30000,0.663533141683778,2493.75,1860,435,660,60,0,0,5508.75,0.183625,2493.75,1860,435,0,0,1071,1318,7177.75,0.239258333333333
32000,0.693539986310746,2793.75,1984,464,704,64,0,0,6009.75,0.1878046875,2793.75,1984,464,0,0,1071,1318,7630.75,0.2384609375
34000,0.710706882652673,3093.75,2108,493,748,68,0,0,6510.75,0.191492647058824,3093.75,2108,493,0,0,1071,1318,8083.75,0.237757352941176
36000,0.728230706517606,3393.75,2232,522,792,72,0,0,7011.75,0.194770833333333,3393.75,2232,522,0,0,1071,1318,8536.75,0.237131944444444
38000,0.747757012700586,3693.75,2356,551,836,76,0,0,7512.75,0.197703947368421,3693.75,2356,551,0,0,1071,1318,8989.75,0.236572368421053
